NMUE,ESTA,TRAN,DÍA,MES,AÑO,LATI,LONG,Cope,Anfi,Apen,Cten,Eufa,Fora,Doli,Hete,Misi,Medu,Naup,Ophi,Ostr,Pleu,Pter,Quet,Radi,Salp,Sifo,Esto,Tomo,Caly,Cuma,Furc,Hueinv,Huepec,Juvcam,Larcif,Larcip,Larcri,LarDis,Largas,Larpec,Larpol, Laroph,Lartro,Mega,zoeas,Cefa,Juvpec
17,17,8,10,1,2012,3500,7219,97.1,0.5,0.9,0.2,0.7,0.0,3.0,0.4,0.0,0.2,0.4,0.0,0.5,0.4,0.0,3.2,0.0,0.5,0.4,0.0,2.1,0.0,0.0,1.1,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0
18,18,8,10,1,2012,3500,7225,92.1,0.0,0.0,0.0,0.1,0.6,29.1,0.1,0.0,0.1,0.0,0.0,0.6,0.6,0.3,1.6,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,8,10,1,2012,3500,7236,75.4,1.3,3.4,0.0,0.3,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.3,0.0,0.1,3.3,0.0,0.0,0.6,0.0,0.1,0.0,0.0,0.3,106.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0
20,20,11,10,1,2012,3530,7239,155.7,2.9,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,5.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
24,24,13,12,1,2012,3550,7241,90.7,0.4,5.7,1.1,0.0,0.0,0.0,0.0,0.7,4.3,1.8,0.0,0.0,0.0,0.0,2.1,0.4,0.0,47.9,0.0,3.6,0.0,0.0,0.4,4.6,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.7,3.6,0.4,0.0,4.6,0.0,0.0
25,25,12,13,1,2012,3540,7311,134.2,2.3,2.3,0.6,1.1,0.0,24.7,0.0,0.0,0.0,2.9,0.0,0.6,1.1,0.0,1.1,1.1,0.0,1.7,0.0,2.3,1.1,0.0,1.1,72.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,12,13,1,2012,3540,7257,23.1,0.0,0.3,0.1,0.0,0.0,16.3,0.0,1.1,0.3,0.1,0.0,1.0,0.7,0.3,0.7,0.3,1.0,0.1,0.0,3.1,0.0,0.0,0.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
27,27,12,13,1,2012,3540,7243,114.7,1.4,2.9,1.4,0.0,0.0,16.3,0.0,0.5,4.3,0.0,0.0,1.4,0.0,0.0,1.4,0.5,0.0,22.9,0.0,2.4,0.0,0.0,0.5,1.9,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,14.3,0.0,0.0
28,28,12,13,1,2012,3540,7238,177.9,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,7.7,0.0,0.0,1.0,0.0,1.5,1.0,0.5,0.0,1.9,0.0,0.0,0.0,0.0,0.0,1.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,15,13,1,2012,3610,7251,74.8,3.6,6.5,0.0,0.0,0.0,10.1,0.0,0.2,1.5,1.7,0.4,0.0,0.0,0.0,3.8,0.8,0.0,5.3,0.0,3.2,1.9,0.0,1.5,1.7,1.7,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,3.4,0.0,0.0,1.7,0.0,0.0
