Cruce,pais,buque,Est,lat(g) ,lat(m) ,long(g),long(m),Año,Mes,Dia,Hora,minuto,Profeco,Olasdir,Olasalt,Olasper, dirviento,vientint, Presatm,Taseco,Tahum,Tiempres,Tiponube,cantnube,vis, prof,Temp,Sali, sigmat, oxigsen,cloasensor , cloa , feop 
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,30,12.625,33.471,25.282,5.501,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,35,12.597,33.476,25.292,5.5,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,40,12.575,33.48,25.299,5.491,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,45,12.495,33.499,25.328,5.447,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,12.152,33.558,25.438,5.445,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,60,10.122,33.972,26.128,4.241,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,70,9.754,34.115,26.302,3.286,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,75,9.79,34.272,26.419,2.836,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,80,9.79,34.317,26.454,1.823,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,90,9.799,34.369,26.493,1.329,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,100,9.791,34.381,26.504,1.086,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,120,9.802,34.392,26.51,0.934,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,125,9.81,34.394,26.511,0.911,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,140,9.819,34.404,26.517,0.77,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,141,9.819,34.404,26.517,0.75,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.046,33.536,25.444,5.283,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.047,33.538,25.445,5.287,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12.044,33.54,25.447,5.287,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12.044,33.54,25.447,5.279,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12.046,33.54,25.447,5.285,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12.048,33.54,25.446,5.285,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12.045,33.541,25.447,5.28,0,0,0
547,CHILE,ABATE MOLINA,5,41,40,74,21.7,2012,5,6,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12.036,33.542,25.45,5.27,0,0,0
